Rating,title,release_year
8.8,Inception,2010
8.7,The Matrix,1999
9.0,The Lord of the Rings: The Return of the King,2003
8.8,The Lord of the Rings: The Two Towers,2002
8.5,The Departed,2006
8.4,Avengers: Infinity War,2018
8.4,Raiders of the Lost Ark,1981
8.4,Spider-Man: Into the Spider-Verse,2018
8.4,Inglourious Basterds,2009
8.3,American Beauty,1999
8.1,Catch Me If You Can,2002
8.6,City of God,2002
7.8,The Irishman,2019
8.4,3 Idiots,2009
8.5,Once Upon a Time in the West,1968
8.2,Monty Python and the Holy Grail,1975
8.4,The Lives of Others,2006
8.2,Indiana Jones and the Last Crusade,1989
8.1,Trainspotting,1996
8.1,Room,2015
8.2,Kill Bill: Vol. 1,2003
8.0,The King's Speech,2010
8.2,Pan's Labyrinth,2006
7.9,Marriage Story,2019
7.9,Dallas Buyers Club,2013
8.0,Kill Bill: Vol. 2,2004
6.7,Zombieland: Double Tap,2019
7.7,Ex Machina,2014
7.3,Black Panther,2018
8.0,Life of Brian,1979
7.8,Drive,2011
7.9,District 9,2009
8.2,Klaus,2019
8.1,Raging Bull,1980
7.5,Incredibles 2,2018
7.8,Moon,2009
8.3,A Separation,2011
7.3,Men in Black,1997
7.6,Hell or High Water,2016
8.0,Rosemary's Baby,1968
8.0,Sin City,2005
7.6,50/50,2011
7.7,Zodiac,2007
7.5,Ip Man 2,2010
7.8,The Fighter,2010
7.9,"Crouching Tiger, Hidden Dragon",2000
7.8,Ferris Bueller's Day Off,1986
7.8,The Hateful Eight,2015
7.5,Indiana Jones and the Temple of Doom,1984
7.6,Train to Busan,2016
7.4,Moonlight,2016
8.3,Dangal,2016
7.7,The Theory of Everything,2014
7.3,El Camino: A Breaking Bad Movie,2019
6.3,The Conjuring: The Devil Made Me Do It,2021
7.6,Scott Pilgrim vs. the World,2010
8.2,Searching for Sugar Man,2012
7.9,Short Term 12,2013
7.8,Willy Wonka & the Chocolate Factory,1971
8.0,The Pursuit of Happyness,2006
7.0,Ant-Man and the Wasp,2018
7.6,The Two Popes,2019
8.3,Like Stars on Earth,2007
5.4,What Men Want,2019
7.7,Crash,2004
8.0,Magnolia,1999
7.6,American Psycho,2000
7.7,And Your Mother Too,2001
7.1,Snowpiercer,2013
7.2,Dolemite Is My Name,2019
8.0,Sling Blade,1996
7.4,Up in the Air,2009
7.0,To All the Boys I've Loved Before,2018
7.7,Donnie Brasco,1997
7.7,As Good as It Gets,1997
7.8,About Time,2013
7.3,Sweeney Todd: The Demon Barber of Fleet Street,2007
8.1,A Silent Voice: The Movie,2016
7.6,The Naked Gun: From the Files of Police Squad!,1988
7.7,Kung Fu Hustle,2004
7.7,Roma,2018
7.2,Grease,1978
7.2,The Matrix Reloaded,2003
7.3,Lincoln,2012
7.5,Gangs of New York,2002
7.7,Blue Is the Warmest Colour,2013
7.4,Limitless,2011
6.2,The Legend of Tarzan,2016
7.7,Coraline,2009
7.3,The Edge of Seventeen,2016
7.5,Tucker and Dale vs Evil,2010
8.2,13th,2016
8.2,Baahubali 2: The Conclusion,2017
7.7,Primal Fear,1996
7.2,GoldenEye,1995
7.9,Icarus,2017
7.5,Saving Mr. Banks,2013
8.0,The Invisible Guest,2016
7.4,The Texas Chain Saw Massacre,1974
7.4,The Talented Mr. Ripley,1999
7.2,The Ballad of Buster Scruggs,2018
7.0,Ralph Breaks the Internet,2018
6.9,Solo: A Star Wars Story,2018
7.8,Jiro Dreams of Sushi,2011
7.1,Black Mirror: Bandersnatch,2018
7.5,Ip Man 2,2010
5.8,"Salò, or the 120 Days of Sodom",1975
7.3,Blue Valentine,2010
8.1,The Dawn Wall,2017
7.3,Blue Jasmine,2013
8.1,Lagaan: Once Upon a Time in India,2001
7.1,The Lobster,2015
7.3,Layer Cake,2004
7.5,Burning,2018
7.7,The Little Prince,2015
7.2,10 Cloverfield Lane,2016
7.0,The Spectacular Now,2013
7.7,The Boy in the Striped Pajamas,2008
7.3,The Squid and the Whale,2005
7.0,Austin Powers: International Man of Mystery,1997
6.8,Bolt,2008
7.3,The Place Beyond the Pines,2012
7.5,A Single Man,2009
8.1,Ford v Ferrari,2019
7.5,Blow,2001
6.7,I Am Mother,2019
7.3,The Adventures of Tintin,2011
7.1,The Princess and the Frog,2009
7.6,Bad Genius,2017
7.4,Frances Ha,2012
7.4,Mudbound,2017
6.9,The Croods: A New Age,2020
5.3,Hellboy,2019
7.9,Pad Man,2018
6.0,"Lock Me Up, Tie Him Down",2014
7.2,Christopher Robin,2018
7.8,My Life as a Zucchini,2016
7.3,Starred Up,2013
7.2,Chasing Amy,1997
7.1,Arthur Christmas,2011
6.5,Gerald's Game,2017
8.2,Paris Is Burning,1990
7.2,Lawless,2012
7.5,Seeking True Love,2017
6.9,Babe,1995
6.7,Charlie and the Chocolate Factory,2005
8.3,The Look of Silence,2014
7.1,Blue Ruin,2013
7.2,Tremors,1990
7.0,Harold & Kumar Go to White Castle,2004
7.7,Virus,2019
7.5,I Lost My Body,2019
7.1,The Danish Girl,2015
6.6,Hush,2016
8.2,Drishyam,2015
7.0,A Serious Man,2009
8.2,Swades,2004
6.8,The Autopsy of Jane Doe,2016
7.5,Doubt,2008
8.1,Neon Genesis Evangelion: The End of Evangelion,1997
8.2,Zindagi Na Milegi Dobara,2011
7.4,Frozen,2013
7.3,Rounders,1998
7.4,Miracle,2004
7.3,Shot Caller,2017
7.6,Lupin III: The Castle of Cagliostro,1979
7.8,The Game Changers,2018
6.8,Stripes,1981
7.2,War Horse,2011
8.1,Article 15,2019
8.1,Talvar,2015
6.7,Hairspray,2007
6.8,Always Be My Maybe,2019
6.8,The Mask of Zorro,1998
6.6,Bird Box,2018
7.3,Equilibrium,2002
6.7,Mary Poppins Returns,2018
7.0,The Christmas Chronicles,2018
7.5,On Body and Soul,2017
8.8,The Lord of the Rings: The Two Towers,2002
7.4,True Grit,1969
7.7,The Breadwinner,2017
6.6,The Invitation,2015
6.9,National Treasure,2004
8.0,The Square,2013
7.0,Ip Man 3,2015
7.2,The Rainmaker,1997
7.6,The Boy Who Harnessed the Wind,2019
7.0,A Most Violent Year,2014
6.9,Step Brothers,2008
6.4,The Secret Life of Pets 2,2019
7.2,The Crying Game,1992
8.2,Before the Flood,2016
6.8,Insidious,2010
7.6,Jim & Andy: The Great Beyond,2017
7.2,Hostiles,2017
7.3,Revolutionary Road,2008
6.8,Panic Room,2002
7.4,Howards End,1992
8.3,Winter on Fire: Ukraine's Fight for Freedom,2015
6.8,Patriot Games,1992
7.3,The Fundamentals of Caring,2016
8.0,Public Enemy #2,1991
6.6,Hitch,2005
6.8,A Ghost Story,2017
7.4,The Natural,1984
6.2,Indiana Jones and the Kingdom of the Crystal Skull,2008
8.0,Special 26,2013
6.9,The Meyerowitz Stories,2017
8.2,Star Wars Celebration 2017,2017
6.6,Austin Powers: The Spy Who Shagged Me,1999
7.8,In This Corner (and Other Corners) of the World,2016
7.3,20th Century Women,2016
7.4,American Factory,2019
6.9,The Wolf's Call,2019
6.8,Under the Shadow,2016
7.6,Tell Me Who I Am,2019
6.9,Swiss Army Man,2016
8.2,LA 92,2017
7.3,Coach Carter,2005
7.3,Hustle & Flow,2005
7.3,The Guernsey Literary and Potato Peel Pie Society,2018
6.9,The Night Comes for Us,2018
7.3,Get Carter,1971
7.3,The Stranger,1946
7.4,Twenty Feet from Stardom,2013
7.3,The Hundred-Foot Journey,2014
7.4,Spider-Man: Far from Home,2019
6.7,The Matrix Revolutions,2003
7.1,Defiance,2008
7.0,The One I Love,2014
7.4,Mirage,2018
6.1,6 Underground,2019
6.8,What Happened to Monday,2017
7.0,Julie & Julia,2009
7.1,Kon-Tiki,2012
7.2,The End of the Tour,2015
6.3,How the Grinch Stole Christmas,2000
7.6,The Fear of 13,2015
6.3,Under the Skin,2013
6.5,Olympus Has Fallen,2013
6.9,Slow West,2015
1.7,Defcon 2012,2010
7.5,Stree,2018
7.6,Seven Pounds,2008
7.1,Kilo Two Bravo,2014
6.2,The Perfection,2018
6.8,The Stanford Prison Experiment,2015
7.7,Last Breath,2019
7.2,Private Life,2018
7.8,Secret Superstar,2017
6.9,My Week with Marilyn,2011
6.3,Terminator 3: Rise of the Machines,2003
7.4,Suburra,2015
8.4,Rush: Beyond the Lighted Stage,2010
7.7,The Pixar Story,2007
6.5,Triple Frontier,2019
8.0,Inequality for All,2013
6.7,Leap!,2016
8.3,2001: A Space Odyssey,1968
7.5,The Distinguished Citizen,2016
7.8,Oasis: Supersonic,2016
6.8,Yes Man,2008
6.7,Something's Gotta Give,2003
6.7,Hamburger Hill,1987
6.6,Monster House,2006
7.3,The Karate Kid,1984
6.2,It Comes at Night,2017
7.5,Unrest,2017
6.9,The Highwaymen,2019
7.6,For the Love of Spock,2016
6.4,The Grinch,2018
6.3,Paranormal Activity,2007
6.6,John Carter,2012
8.0,Chasing Coral,2017
7.5,Happy as Lazzaro,2018
6.5,Zack and Miri Make a Porno,2008
6.8,Man Up,2015
7.0,American Honey,2016
6.1,The American Meme,2018
7.4,Cunk & Other Humans on 2019,2019
8.0,The Battered Bastards of Baseball,2014
6.7,Obvious Child,2014
6.9,My Girl,1991
6.6,The Undefeated,1969
6.8,What Happened to Monday,2017
6.5,The Spiderwick Chronicles,2008
6.3,Scream 2,1997
7.2,Team Foxcatcher,2016
7.5,A Twelve-Year Night,2018
6.4,Creep 2,2017
7.2,Paddleton,2019
6.2,Veronica,2017
7.2,April and the Extraordinary World,2015
7.1,Like Water for Chocolate,1992
6.7,"Extremely Wicked, Shockingly Evil and Vile",2019
6.9,La Bamba,1987
7.5,Instructions Not Included,2013
6.6,Bad Boys II,2003
6.7,Child's Play,1988
6.5,The Interview,2014
6.8,21,2008
7.2,Heneral Luna,2015
6.8,Mary and the Witch's Flower,2017
6.3,Bright,2017
7.6,The Seven Five,2014
6.9,Outlaw King,2018
6.3,Cargo,2017
6.4,Turbo,2013
6.8,Calibre,2018
7.0,Echo in the Canyon,2018
6.5,Tomorrow Never Dies,1997
6.9,The Naked Gun 2½: The Smell of Fear,1991
6.7,Final Destination,2000
5.9,Candyman,2021
7.4,Bombshell: The Hedy Lamarr Story,2017
8.8,Muse - Live at Rome Olympic Stadium,2013
7.2,Water and Sugar,2016
8.2,Cuba and the Cameraman,2017
7.3,Blue Jay,2016
6.1,The Promise,2016
6.9,Black Snake Moan,2006
6.9,Soul Boys of the Western World,2014
6.9,Kill the Messenger,2014
8.0,Richard Pryor: Live in Concert,1979
5.7,Sour Grapes,1998
7.2,First They Killed My Father,2017
6.8,Beavis and Butt-Head Do America,1996
7.6,Being Elmo: A Puppeteer's Journey,2011
7.7,Udta Punjab,2016
7.2,Betting on Zero,2016
7.8,Remember the Titans,2000
6.2,1922,2017
5.6,Men in Black: International,2019
6.9,The Duchess,2008
7.4,Even the Rain,2010
6.8,Teenage Mutant Ninja Turtles,1990
6.7,Clouds of Sils Maria,2014
6.3,Spectral,2016
7.8,The Devil We Know,2018
7.0,Becoming Jane,2007
7.3,The Cakemaker,2017
7.0,The Great Battle,2018
6.9,Suffragette,2015
6.8,The Imaginarium of Doctor Parnassus,2009
6.9,Kingpin,1996
6.6,Super Dark Times,2017
6.3,The Ritual,2017
7.0,P.S. I Love You,2007
6.4,She's Out of My League,2010
4.8,Madea's Big Happy Family,2011
7.3,Dear Ex,2018
6.5,Terminator Salvation,2009
6.5,Master Z: The Ip Man Legacy,2018
6.9,Chitty Chitty Bang Bang,1968
7.6,Williams,2017
6.9,Junebug,2005
7.5,Jodhaa Akbar,2008
7.2,The 24 Hour War,2016
6.2,Austin Powers in Goldmember,2002
8.1,Bobby Robson: More Than a Manager,2018
6.6,Next Gen,2018
6.4,The World Is Not Enough,1999
7.3,Get Me Roger Stone,2017
7.6,The Sky Is Pink,2019
6.3,The Babysitter,2017
7.4,Holding the Man,2015
5.5,The Bounty Hunter,2010
6.7,Tallulah,2016
7.0,Handsome Devil,2016
7.1,Nowhere Boy,2009
6.4,Click,2006
6.3,Kursk,2012
7.4,Us and Them,2018
7.6,Delhi Belly,2011
6.1,Die Another Day,2002
6.7,Rachel Getting Married,2008
6.6,Peter Rabbit,2018
7.4,Tyson,2008
5.6,Spy Kids,2001
7.5,Ai Weiwei: Never Sorry,2012
5.6,Hold the Dark,2018
7.6,Only the Dead,2015
6.3,Bleach,2018
6.5,Fractured,2019
6.9,Christine,2016
6.7,Gringo: The Dangerous Life of John McAfee,2016
7.0,The Dirt,2019
7.1,Mune: Guardian of the Moon,2014
6.8,Other People,2016
7.0,Suite Française,2014
7.9,Ugly,2013
6.6,Event Horizon,1997
7.5,Seeking True Love,2017
7.4,The Last Man on the Moon,2014
6.3,Scary Movie,2000
6.9,Traitor,2008
6.3,Alex Strangelove,2018
8.2,My Father and My Son,2005
7.2,The Siege of Jadotville,2016
6.5,The Forbidden Kingdom,2008
7.9,Trouble in Paradise,1932
7.0,Kill the Irishman,2011
7.0,The Water Diviner,2014
7.4,Filmworker,2017
6.7,Princess Cyd,2017
6.7,While We Live,2017
6.6,Retribution,2015
6.6,The Grandmaster,2013
7.0,Gaga: Five Foot Two,2017
7.3,Shirkers,2018
5.9,Cam,2018
6.3,Young Adult,2011
7.4,Ice Guardians,2016
5.6,Charlie's Angels,2000
6.2,Anger Management,2003
6.3,Hotel Transylvania 3: Summer Vacation,2018
7.5,Spitfire,2018
6.4,The Longest Yard,2005
6.8,The Exception,2016
7.0,The Sapphires,2012
7.7,Oceans,2009
5.9,9½ Weeks,1986
6.4,The Craft,1996
6.4,Mississippi Grind,2015
7.0,Mansfield Park,1999
6.9,Camp X-Ray,2014
6.4,Burlesque,2010
6.8,Om Shanti Om,2007
6.5,Behind the Curve,2018
6.1,The Waterboy,1998
3.2,Black Sea 213,2000
7.7,Forks Over Knives,2011
6.2,Final Destination 2,2003
7.3,The Accountant of Auschwitz,2018
6.7,Little Men,2016
6.3,He Never Died,2015
7.5,How to Change the World,2015
6.4,DragonHeart,1996
7.6,Bathtubs Over Broadway,2018
6.7,Hot Rod,2007
7.7,Beasts of No Nation,2015
7.8,Kai Po Che,2013
7.2,Ittefaq,2017
6.4,Chappaquiddick,2017
7.1,5 to 7,2014
6.1,Personal Shopper,2016
7.7,Badla,2019
7.3,Kevin Hart: Laugh at My Pain,2011
6.6,What Lies Beneath,2000
6.1,Bee Movie,2007
6.5,The Informant!,2009
6.7,The Gift,2000
6.7,The Kindergarten Teacher,2018
7.0,One of Us,2017
8.1,A Wednesday,2008
6.4,Wheelman,2017
6.5,Sleeping with Other People,2015
6.4,The Taking of Pelham 123,2009
6.9,Charlotte's Web,1973
7.6,Quincy,2018
7.2,Cutie and the Boxer,2013
6.8,Neruda,2016
6.0,Backcountry,2014
7.7,You Are My Sunday,2016
6.7,The Salvation,2014
6.4,Our Idiot Brother,2011
6.7,K-19: The Widowmaker,2002
6.8,Dance Academy: The Movie,2017
5.6,The Knight Before Christmas,2019
5.8,Blame,2017
6.2,Sweet Virginia,2017
6.3,Red Dawn,1984
5.9,The Wandering Earth,2019
7.1,Screwball,2018
6.9,Legend of the Guardians: The Owls of Ga'Hoole,2010
6.9,We the Animals,2018
6.5,Mowgli: Legend of the Jungle,2018
6.6,Band Aid,2017
6.6,Small Town Crime,2017
6.2,Time Trap,2017
6.9,Silicon Cowboys,2016
6.3,The World Is Yours,2018
6.9,White Fang,2018
7.1,Trash,2014
6.8,The Original Kings of Comedy,2000
7.0,Studio 54,2018
6.6,My Scientology Movie,2015
7.6,Sanju,2018
7.4,Dear Zindagi,2016
7.1,The Bill Murray Stories: Life Lessons Learned from a Mythical Man,2018
6.7,The Photographer of Mauthausen,2018
6.8,Stonehearst Asylum,2014
6.2,In the Shadow of the Moon,2019
5.7,BuyBust,2018
7.3,I Called Him Morgan,2016
6.9,King Jack,2015
6.7,Raees,2017
6.1,The Princess Switch,2018
6.4,The First Wives Club,1996
6.3,Berlin Syndrome,2017
6.4,Errementari,2017
6.0,Stuart Little,1999
7.4,John Leguizamo's Latin History for Morons,2018
6.9,Dukhtar,2014
6.4,Strong Island,2017
6.5,Haunters: The Art of the Scare,2017
6.4,Kate & Leopold,2001
5.8,A Decent Woman,2016
7.6,Parmanu: The Story of Pokhran,2018
6.0,Free Willy,1993
6.7,Bon Cop Bad Cop,2006
6.7,The Jane Austen Book Club,2007
6.4,From Paris with Love,2010
6.3,Cop Car,2015
7.6,Woodstock: Three Days That Defined a Generation,2019
6.5,Dumplin',2018
6.0,Murder Mystery,2019
7.3,Revolutionary Road,2008
6.7,Kicking and Screaming,1995
6.1,Between Two Ferns: The Movie,2019
6.4,The Confirmation,2016
7.0,An Unfinished Life,2005
7.1,Kills On Wheels,2016
6.0,World Trade Center,2006
5.4,A Christmas Prince: The Royal Baby,2019
6.4,The Invention of Lying,2009
6.5,Tramps,2016
6.7,The Company Men,2010
5.8,Sweetheart,2019
7.1,Petta,2019
6.7,Melvin Goes to Dinner,2003
6.7,Imperial Dreams,2014
7.5,Mission Control: The Unsung Heroes of Apollo,2017
6.7,Miss Hokusai,2015
8.1,OMG: Oh My God!,2012
6.4,The Congress,2013
6.7,Center Stage,2000
7.6,Justin Timberlake + the Tennessee Kids,2016
7.7,Prosecuting Evil,2018
7.9,Harold and Lillian: A Hollywood Love Story,2015
7.0,What We Started,2017
7.1,My Masterpiece,2018
6.5,Big Miracle,2012
6.4,Laggies,2014
7.1,Kaabil,2017
5.9,The Kissing Booth,2018
6.1,I Remember You,2017
7.3,Seeing Allred,2018
6.5,Bad Day for the Cut,2017
6.5,Miss Stevens,2016
6.4,The Ugly Truth,2009
6.6,Vantage Point,2008
6.7,Wyatt Earp,1994
7.0,Paid in Full,2002
6.3,The Incident,2014
6.2,Heartbreakers,2001
6.4,The Rover,2014
6.6,Layla M.,2016
6.4,When We First Met,2018
6.4,The Mountain Between Us,2017
6.7,The Legend of 420,2017
7.3,Tamasha,2015
6.6,The Red Sea Diving Resort,2019
6.4,The Iron Lady,2011
6.6,Kiss the Girls,1997
6.7,A Futile and Stupid Gesture,2018
6.3,The Divine Fury,2019
6.7,The Other Side of the Wind,2018
7.4,The Garden of Words,2013
6.3,The Forest of Love,2019
6.8,I am Jane Doe,2017
6.1,Love,2015
6.2,The Eyes of My Mother,2016
6.7,Fire at Sea,2016
6.1,Advantageous,2015
6.3,Get Santa,2014
7.2,Audrie & Daisy,2016
6.0,The Signal,2014
6.7,"To Wong Foo, Thanks for Everything! Julie Newmar",1995
6.5,Self/less,2015
7.2,Girl,2018
6.2,The Outsider,2018
6.8,Jersey Boys,2014
7.2,Just Another Love Story,2007
7.0,Gook,2017
6.3,The Case for Christ,2017
5.8,Walking Out,2017
6.2,Transcendence,2014
5.8,Murder Party,2007
6.2,The Men Who Stare at Goats,2009
8.1,Kahaani,2012
7.0,Dil Dhadakne Do,2015
6.7,Kevin Hart: Let Me Explain,2013
7.3,The Aerial,2007
6.4,Son of a Gun,2014
7.6,Mr. Church,2016
6.7,Final Destination,2000
5.3,Spring Breakers,2012
7.5,The C Word,2016
7.1,Magnus,2016
6.7,You Were Never Really Here,2017
5.8,Teenage Cocktail,2016
6.6,Goldstone,2016
7.0,Holy Hell,2016
6.7,The Pirates of Somalia,2017
8.1,Dil Chahta Hai,2001
6.2,Krampus,2015
7.4,Joan Didion: The Center Will Not Hold,2017
0.0,Cannes Film Festival 2019,2019
6.8,Kodachrome,2017
6.3,Small Soldiers,1998
6.4,Good Kill,2014
5.0,Kickboxer: Retaliation,2018
6.3,13 Sins,2014
7.1,March of the Wooden Soldiers,1934
7.1,Breathe,2017
8.1,Cowspiracy: The Sustainability Secret,2014
7.0,The Unknown Known,2013
6.6,Wish I Was Here,2014
6.8,Mary Kom,2014
7.0,The Sunshine Makers,2015
6.5,The Grass Is Greener,1960
5.9,The Blackcoat's Daughter,2015
6.8,Sorry Angel,2018
8.2,Khosla Ka Ghosla!,2006
7.2,Fyre,2019
7.4,Peepli [Live],2010
6.3,Chloe,2009
6.9,Raiders!: The Story of the Greatest Fan Film Ever Made,2015
7.4,Guzaarish,2010
6.2,Mr. Roosevelt,2017
6.3,Boys in the Trees,2016
6.6,Flavors of Youth,2018
6.3,ARQ,2016
6.9,Newtown,2016
7.0,The Great Hack,2019
7.6,Madaari,2016
5.6,Monster-in-Law,2005
7.6,Harry & Snowman,2015
6.1,Voyeur,2017
7.1,I Am Bolt,2016
5.5,Stuart Little 2,2002
7.3,God Knows Where I Am,2016
6.4,Along Came a Spider,2001
5.1,Agent 2000: Die Laksman,2014
6.6,Operation Red Sea,2018
5.7,Velvet Buzzsaw,2019
5.7,Chicken Little,2005
7.3,Palio,2015
7.4,Democrats,2014
7.2,A Fortunate Man,2018
6.8,Sand Storm,2016
6.1,My Big Night,2015
6.8,Dolphin Tale,2011
8.1,Rang De Basanti,2006
6.3,The Limehouse Golem,2016
6.6,Chuck's Choice,2017
6.1,Pee-wee's Big Holiday,2016
6.4,Dovlatov,2018
7.1,Peter and the Farm,2016
5.8,War on Everyone,2016
7.0,Kahlil Gibran's The Prophet,2014
6.9,Comedian,2002
6.9,Jack and the Cuckoo-Clock Heart,2013
6.6,Mother!,2017
7.6,Homecoming: A Film by Beyoncé,2019
7.0,The Bad Kids,2016
6.0,Circle,2015
5.8,The Little Hours,2017
6.1,Jimmy Neutron: Boy Genius,2001
7.3,Toni Erdmann,2016
6.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991
7.1,Defying the Nazis: The Sharps' War,2016
7.3,Sky Ladder: The Art of Cai Guo-Qiang,2016
5.7,Kill Command,2016
6.3,Wakefield,2016
6.9,Our Souls at Night,2017
6.2,All About Nina,2018
5.8,Clash of the Titans,2010
6.2,MI-5,2015
6.7,Brooklyn's Finest,2009
6.4,Cardboard Gangsters,2017
5.0,47 Meters Down: Uncaged,2019
5.5,2019: After the Fall of New York,1983
7.4,"The Rolling Stones Olé, Olé, Olé!: A Trip Across Latin America",2016
6.2,The Saint,1997
6.3,Headshot,2016
5.9,Dinner for Schmucks,2010
6.0,Bedtime Stories,2008
7.0,Shadow,2018
4.5,Let There Be Light,2017
6.4,Creep 2,2017
7.2,Strike a Pose,2016
7.3,Command and Control,2016
6.2,Rugrats in Paris,2000
5.6,Triple Threat,2019
6.2,Win It All,2017
7.1,Trailer Park Boys: The Movie,2006
5.3,Ghost Rider,2007
6.4,Horns,2013
7.9,The Spy,2019
7.6,Best Worst Thing That Ever Could Have Happened,2016
7.0,Mercury 13,2018
7.0,Main Hoon Na,2004
5.1,The Hurricane Heist,2018
6.5,The Burial of Kojo,2018
5.9,Kevin Hart: What Now?,2016
6.7,Atlantics,2019
7.5,Our Little Sister,2015
5.8,Sierra Burgess Is a Loser,2018
6.3,The Keeping Hours,2017
7.0,Flash of Genius,2008
7.0,Kabir Singh,2019
5.7,The Last Exorcism,2010
6.0,Carriers,2009
7.3,The Short Game,2013
7.0,Notes on Blindness,2016
7.2,Bobby Sands: 66 Days,2016
6.6,Phantom Boy,2015
6.2,Ginger & Rosa,2012
5.9,Wolf Warrior 2,2017
6.1,Hit and Run,2012
5.8,Candy Jar,2018
6.2,A Night at the Roxbury,1998
5.3,Jupiter Ascending,2015
5.8,The Similars,2015
5.7,White Girl,2016
6.3,Mean Dreams,2016
5.4,Lifechanger,2018
7.6,The 36th Chamber of Shaolin,1978
7.5,Dil Se..,1998
7.0,Rustom,2016
5.9,Nacho Libre,2006
5.8,Extinction,2018
6.3,Benji,2018
6.4,Animal World,2018
6.3,Morris from America,2016
6.2,Maps to the Stars,2014
7.0,National Bird,2016
5.8,Thumper,2017
7.2,The Physician,2013
5.3,Cult of Chucky,2017
7.0,Gabriel and the Mountain,2017
6.7,Bon Cop Bad Cop,2006
6.2,La 4ª Compañía,2016
4.5,Johnson Family Vacation,2004
6.4,First Match,2018
6.0,Come Sunday,2018
5.9,Time Share,2018
6.8,Lady J,2018
6.5,Love Off the Cuff,2017
7.1,E-Team,2014
5.8,Resident Evil: Afterlife,2010
7.4,Knock Down the House,2019
8.0,Andaz Apna Apna,1994
7.1,Luck by Chance,2009
6.7,Fourth Man Out,2015
6.3,While We're Young,2014
7.6,Bhavesh Joshi Superhero,2018
7.0,Shutter,2004
6.7,Carrie Pilby,2016
6.6,The Great Raid,2005
6.2,Takers,2010
7.8,Maya Angelou And Still I Rise,2016
5.2,Lez Bomb,2018
5.6,The Quest,1996
5.9,The Breaker Upperers,2018
7.3,Miss Sharon Jones!,2015
7.3,Yomeddine,2018
6.4,Jagga Jasoos,2017
7.2,No One Killed Jessica,2011
6.0,The Tourist,2010
6.5,Operation Mekong,2016
8.1,Long Time Running,2017
6.1,Middle School: The Worst Years of My Life,2016
