Rating,title,release_year
6.3,ABCD (Any Body Can Dance),2013
5.3,Postcards from London,2018
5.8,Stephanie,2017
6.1,The Girl Allergic to WiFi,2018
6.1,Cézanne et moi,2016
4.5,Bitch Slap,2009
6.8,Janaan,2016
7.7,Njan Prakashan,2018
7.1,Sour Apples,2016
6.5,Being AP,2015
5.7,A Dangerous Woman,1993
7.4,Losing Sight of Shore,2017
6.3,Svaha: The Sixth Finger,2019
6.9,The Body Remembers When the World Broke Open,2019
7.7,Brené Brown: The Call to Courage,2019
5.5,Naomi and Ely's No Kiss List,2015
5.1,Mara,2018
6.2,Naam Shabana,2017
4.9,The Vault,2017
6.0,Cold Skin,2017
7.6,The Little Mermaid,1989
7.1,Love in a Puff,2010
5.4,Naked,2017
6.4,Just Go with It,2011
5.7,Rocco,2016
5.2,Rim of the World,2019
5.9,Dabbe 5: Curse of the Jinn,2014
7.5,Franca: Chaos and Creation,2016
6.5,Paradox,2017
5.5,The Mistress of Spices,2005
4.6,Dark Crimes,2016
5.8,Godzilla: City on the Edge of Battle,2018
8.2,Sudani from Nigeria,2018
4.5,The Humanity Bureau,2017
7.1,Shootout at Lokhandwala,2007
5.2,The Adderall Diaries,2015
7.1,The Carter Effect,2017
7.3,Shanghai,2012
5.1,The D Train,2015
6.5,Murder on the Orient Express,2017
6.3,Abandoned,2015
6.7,For Here or to Go?,2015
6.5,Clair Obscur,2016
7.2,Shaitan,2011
3.4,Dauntless: The Battle of Midway,2019
5.4,After Porn Ends 3,2018
5.2,Father of the Year,2018
5.6,Bob Lazar: Area 51 & Flying Saucers,2018
5.0,First Kill,2017
7.3,Mortified Nation,2013
4.5,Skyline,2010
7.4,Tyke: Elephant Outlaw,2015
5.2,Snow Day,2000
4.3,The Bye Bye Man,2017
5.4,Ram Jaane,1995
6.8,Pyaar Ke Side Effects,2006
7.1,Invisible Essence: The Little Prince,2018
7.4,Life in a Metro,2007
7.1,Rot fai faa... Maha na ter,2009
6.4,Walk. Ride. Rodeo.,2019
7.1,Mais Forte que o Mundo: A História de José Aldo,2016
5.6,The Last Laugh,2019
6.6,You Changed My Life,2009
6.5,Like Arrows,2018
6.2,The Ruthless,2019
7.1,Tune in for Love,2019
5.1,Clinical,2017
4.9,Mercy Black,2019
7.9,I Am Kalam,2010
5.6,Skin Trade,2014
6.9,Return to the 36th Chamber,1980
2.8,Swiped,2018
5.3,Fun Mom Dinner,2017
6.6,The Music of Silence,2017
4.7,Shorts,2009
6.9,Fukrey,2013
5.8,Sr. Pig,2016
6.5,Stereo,2014
6.7,The Lighthouse of the Whales,2016
5.5,Good People,2014
7.7,The Gospel of John,2003
6.3,Bride for Rent,2014
4.7,Rattlesnake,2019
6.3,Catwalk: Tales from the Cat Show Circuit,2018
7.1,Ghost in the Shell: Arise - Border 1: Ghost Pain,2013
7.1,Ghost in the Shell: Arise - Border 1: Ghost Pain,2013
7.1,Ghost in the Shell: Arise - Border 1: Ghost Pain,2013
5.6,Inside Man: Most Wanted,2019
3.5,Spy Kids 4: All the Time in the World,2011
7.2,Michael Clayton,2007
5.3,Muzaffarnagar 2013,2017
6.6,Aitraaz,2004
6.5,My Little Pony: Equestria Girls - Friendship Games,2015
3.0,The Last Resort,2009
7.5,Saving Mr. Banks,2013
5.7,The Rehearsal,2016
5.7,The Holiday Calendar,2018
0.0,One Second from Eternity: The History of the Land Speed Record,1973
6.4,Bewildered Bolbol,2010
6.7,Motu Patlu: King of Kings,2016
5.1,Big Bear,2017
6.5,Hükümet Kadin,2013
5.4,Any Body Can Dance 2,2015
4.7,Hoodwinked Too! Hood vs. Evil,2011
7.9,Armed to the Teeth,2018
4.5,Secret Obsession,2019
6.8,Dying to Tell,2018
6.7,Løvekvinnen,2016
6.0,Balu Mahi,2017
6.7,After the Rain,2018
6.5,The Silence of the Sky,2016
5.5,Burning Cane,2019
6.4,Dare to Be Wild,2015
4.7,Ghost House,2017
6.1,Pokémon the Movie 2000,1999
0.0,#IrishGameDev 2014,2015
7.1,300 Miles to Heaven,1989
4.5,Sextuplets,2019
6.3,The Accident,2019
6.5,Euphoria,2018
6.1,Running for Grace,2018
4.9,Happy,2015
7.2,"Main, Meri Patni... Aur Woh!",2005
6.4,Martial Arts of Shaolin,1986
8.5,One More Shot,2018
7.5,Why Me?,2015
6.0,Incir Reçeli 2,2014
5.4,Under the Eiffel Tower,2018
6.7,Kara Bela,2015
5.9,Psychokinesis,2018
6.3,SOS: Secrets of Sex,2013
4.7,The Diabolical,2015
6.9,Kalakalappu,2012
5.6,Gnome Alone,2017
6.7,Upstarts,2019
7.9,Evangelion: 2.0 You Can (Not) Advance,2009
6.4,Rukh,2017
7.3,Sustainable,2016
7.7,Merata: How Mom Decolonized the Screen,2018
5.0,Unfreedom,2014
5.5,Flimflam,2016
6.8,Luciérnagas,2018
6.1,Los héroes del mal,2015
6.4,Secuestro,2016
7.3,A Passage to India,1984
6.2,Sardarji,2015
4.3,Cats & Dogs: The Revenge of Kitty Galore,2010
5.0,Santa Girl,2019
5.1,Jab Harry Met Sejal,2017
6.8,Rocky Handsome,2016
5.6,Ali Baba and the Seven Dwarfs,2015
5.1,Ascharyachakit!,2018
4.8,Havenhurst,2016
6.2,Burn Out,2017
5.8,Family 420 Once Again,2019
6.7,Publieke werken,2015
5.2,Dude,2018
7.6,Manu,2018
5.6,Be Somebody,2016
7.3,The Blue Umbrella,2005
6.3,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016
6.5,Vizontele Tuuba,2003
5.4,Big Kill,2019
6.3,The Journey Is the Destination,2016
6.2,Mr. Nice Guy,1997
6.1,In the Shadow of Iris,2016
5.9,The Wedding Party,2016
6.2,Alice Through the Looking Glass,2016
5.2,Tinker',2017
5.8,Kaleidoscope,2016
5.2,Hostage to the Devil,2016
6.7,Bumblebee,2018
7.3,Philips and the Monkey Pen,2013
7.6,London 2012: Games of the XXX Olympiad,2012
7.3,Girls und Panzer der Film,2015
4.5,Sex Doll,2016
5.9,The Unmarried Wife,2016
4.7,ATM,2012
5.9,Catfight,2016
6.7,Deewana,1992
6.6,Apache Warrior,2017
2.8,The App,2019
6.4,Running Shaadi,2017
7.1,Highly Strung,2015
5.7,I Hate Luv Storys,2010
6.1,Belmonte,2018
6.1,The Most Hated Woman in America,2017
5.2,The Clapper,2017
6.8,Love on Delivery,1994
3.8,The Love Guru,2008
6.3,Sukob,2006
6.8,Saving Capitalism,2017
7.1,Shéhérazade,2018
5.7,Istanbul Kirmizisi,2017
6.6,Phobia 2,2009
6.2,He Even Has Your Eyes,2016
7.1,Brave Miss World,2013
5.7,Act of Vengeance,2010
4.9,Naked Singularity,2021
5.3,Tini: The New Life of Violetta,2016
7.9,Lovely Complex,2007
7.4,Swathanthryam Ardharathriyil,2018
5.6,Verses of Love 2,2017
5.0,Heroine,2012
6.8,Before Sunrise,2015
4.4,Mac & Devin Go to High School,2012
5.6,Bayonet,2018
5.9,Rainbow Time,2016
5.2,Humko Deewana Kar Gaye,2006
7.2,Painted Faces,1988
4.7,Iceman,2014
5.3,Amelia 2.0,2017
5.3,Amelia 2.0,2017
6.6,Puriyaatha Puthir,2017
6.8,A Second Chance,2014
4.6,The Influence,2019
6.3,Shiva Shankar,1990
5.0,Holiday Rush,2019
5.8,The Black Prince,2017
6.1,Shakthi: The Power,2002
4.8,The Hard Way,2019
6.7,Memory Games,2018
5.2,Mojave,2015
5.8,Dry Martina,2018
5.1,Amar,2017
6.1,Wedding Unplanned,2017
5.9,Expedition Happiness,2017
3.6,Jacob's Ladder,2019
5.7,Duck Duck Goose,2018
5.0,Aakhri Adaalat,1988
6.8,Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,2017
5.5,Dil Hai Tumhaara,2002
6.3,Caregiver,2008
6.6,Luv Shuv Tey Chicken Khurana,2012
5.3,Parker's Anchor,2018
6.5,Menteur,2019
6.9,Welcome to Sajjanpur,2008
6.5,Brij Mohan Amar Rahe,2017
7.1,Feminists: What Were They Thinking?,2018
7.2,Driving Licence,2019
5.9,Barbie in Rock 'N Royals,2015
4.8,The Heretics,2017
6.8,Mayday Life,2019
6.9,I Don't Feel at Home in This World Anymore,2017
6.6,Froning: The Fittest Man in History,2015
4.2,F*&% the Prom,2017
3.1,Left Behind,2014
5.6,For Love or Money,2019
6.3,Escape from the Planet of the Apes,1971
7.3,Shaurya,2008
6.4,Street Flow,2019
7.0,Maacher Jhol,2017
6.7,The Chosen Ones,2015
4.7,Maximum Conviction,2012
4.5,The Drowning,2016
6.2,Life 2.0,2010
7.4,SuckSeed,2011
6.0,Liberated: The New Sexual Revolution,2017
6.6,Bhouri,2016
4.2,Woody Woodpecker,2017
6.1,Your Son,2018
6.7,Thorne: Sleepyhead,2010
7.7,Wrong Side Raju,2016
4.4,The Maus,2017
6.8,Beast Stalker,2008
7.6,The Sinking of Van Der Wijck,2013
5.5,Rip Tide,2017
6.7,7 Years,2016
6.3,The Creative Brain,2019
5.4,Despite Everything,2019
4.7,Nails,2017
5.5,Brahman Naman,2016
4.4,Shanghai Fortress,2019
7.2,Mad World,2016
5.5,Pottersville,2017
7.3,Sangam,1964
6.3,The Crew,2015
7.2,Saa'a wi Nos,2012
5.6,Kis Kisko Pyaar Karoon,2015
7.1,Now More Than Ever: The History of Chicago,2016
6.8,Our Godfather,2019
6.2,Otstupnik,1987
4.5,The Competition,2018
7.3,"The Other One: The Long, Strange Trip of Bob Weir",2014
6.3,Napszállta,2018
7.2,Five Elements Ninjas,1982
3.6,27: The Cursed Club,2018
4.5,Desolation,2017
5.5,The Legacy of a Whitetail Deer Hunter,2018
8.2,We Served with Pride: The Chinese American Experience in WWII,1999
4.9,Battle Drone,2018
7.8,Let It Fall: Los Angeles 1982-1992,2017
4.3,The Charnel House,2016
4.0,The Basement,2018
7.4,Taramani,2017
8.0,Ee Nagaraniki Emaindi,2018
7.1,Jhankaar Beats,2003
7.4,The Heaven None Missed,2015
4.2,The Devil Inside,2012
7.4,Power Paandi,2017
3.8,Doom: Annihilation,2019
6.2,Meghnadbodh Rohoshyo,2017
7.1,The Battle of Russia,1943
7.0,Handsome Devil,2016
7.9,Story of an Egg,2017
5.1,Happy new year,2018
5.7,Kocan Kadar Konus: Dirilis,2016
6.2,Laddaland,2011
7.1,The Real Miyagi,2015
5.6,The Girl from the Song,2017
6.9,Consequences,2018
7.0,You Will Die at 20,2019
5.3,Brampton's Own,2018
7.1,Growing Up Wild,2016
5.4,Mostly Sunny,2016
6.2,The Magic Snowflake,2013
6.8,Chameli,2003
5.8,Darc,2018
4.5,Blood Money,2017
4.6,Beauty and the Bestie,2015
6.2,Veronica,2017
7.1,Late Life: The Chien-Ming Wang Story,2018
4.8,Lady-Like,2017
5.5,Sahara,2017
4.1,Shark Night,2011
5.6,Perdida,2018
5.0,American Heist,2014
4.9,Kidnapping Stella,2019
4.7,You Get Me,2017
7.2,The Show of Shows,2015
5.9,For the Love of Benji,1977
6.5,Naan Sigappu Manithan,2014
4.2,Yaadein...,2001
4.0,Girls with Balls,2018
5.3,Dragonheart: Battle for the Heartfire,2017
6.3,Haseena Maan Jaayegi,1999
5.7,Azhar,2016
3.8,All Light Will End,2018
6.6,Lommbock,2017
6.2,Lucknow Central,2017
6.5,Chalay Thay Sath,2017
6.2,Pizza,2014
6.3,Cities of Last Things,2018
5.2,Sisterakas,2012
4.8,Take the 10,2017
3.7,Judwaa 2,2017
7.2,A Beautiful Day in the Neighborhood,2019
3.9,Ragini MMS 2,2014
7.9,All the President's Men,1976
6.9,High Society,1956
5.4,The 3rd Eye 2,2019
6.3,7 Khoon Maaf,2011
5.8,Finally Found Someone,2017
5.1,Riot,2015
6.2,In Family I Trust,2019
7.0,Eyyvah Eyvah,2010
8.1,Pink,2016
6.0,Anaarkali of Aarah,2017
7.0,Tikli and Laxmi Bomb,2017
5.5,Dedemin Fisi,2016
6.9,The Sisters Brothers,2018
6.6,The Spy Who Fell to Earth,2019
6.3,Bobbi Jene,2017
5.8,Gridlocked,2015
6.9,Grandmaster,2012
8.0,Blade Runner 2049,2017
5.6,Küçük Esnaf,2016
5.2,Albion: The Enchanted Stallion,2016
5.6,Singh Saab the Great,2013
6.8,Jatt James Bond,2014
7.0,Uriyadi 2,2019
4.3,Judy Moody and the Not Bummer Summer,2011
5.5,Legend of the Naga Pearls,2017
7.1,Filosofi Kopi 2: Ben & Jody,2017
6.7,100 Days of Loneliness,2018
6.2,A Week in Watts,2018
3.3,The Open House,2018
6.7,King Arthur: Legend of the Sword,2017
6.4,CIA: Comrade in America,2017
7.1,A Family Affair,2015
6.0,Viulisti,2018
5.8,Break Up 100,2014
5.7,Lionheart,2018
4.8,Kung Fu Dunk,2008
7.2,Shor in the City,2010
7.7,Ghayal,1990
7.3,Much Ado About Nothing,1993
4.4,Kill Me If You Dare,2019
7.4,The Heaven None Missed,2015
6.4,Disciples of the 36th Chamber,1985
5.7,Jingle All the Way,1996
4.6,The Mansion,2017
4.6,A Glimpse Inside the Mind of Charles Swan III,2012
6.2,The Man Who Would Be Polka King,2009
6.7,Wild Tango,1993
6.5,Chamatkar,1992
5.6,Patiala House,2011
7.4,Forever Pure,2016
6.3,26 Years,2012
4.9,Rangreza,2017
7.3,My Brother... Nikhil,2005
5.5,Monster High: Welcome to Monster High,2016
6.7,The Chosen Ones,2015
7.6,Khubsoorat,1980
5.3,A Remarkable Tale,2019
7.5,We Need to Talk About Kevin,2011
7.2,BNK48: Girls Don't Cry,2018
5.3,True to the Game,2017
6.1,The Next Skin,2016
6.6,Journey to a Mother's Room,2018
8.2,Roll with Me,2017
6.5,Manje Bistre,2017
6.0,Selfie 69,2016
7.2,Love and Shukla,2017
7.3,Komola Rocket,2018
8.1,Shonar Pahar,2018
6.1,Frank and Cindy,2015
6.3,Ana e Vitória,2018
6.4,Jo Pil-ho: The Dawning Rage,2019
5.8,Generation Iron 3,2018
6.1,The Third Party,2016
6.9,Very Big Shot,2015
8.4,Martyrs of Marriage,2016
7.0,Aadu - Oru Bheegara Jeevi Aanu 2,2017
5.6,Vodka Diaries,2018
7.3,Barça Dreams,2015
5.1,Boss,2013
4.3,Arthur & Merlin,2015
5.7,Wild Oats,2016
6.7,Pukar,2000
5.5,Dabbe 6: The Return,2015
6.1,Spy Time,2015
6.4,Ferrari Ki Sawaari,2012
4.6,Lucky: No Time for Love,2005
5.4,Fitoor,2016
6.2,Calum Von Moger: Unbroken,2019
6.1,Kardec,2019
7.1,The Devil All the Time,2020
5.4,Go! The Unforgettable Party,2019
7.7,Jack of All Trades,2000
5.6,Chris Brown: Welcome To My Life,2017
5.8,Christmas in the Smokies,2015
7.2,Ayana,2017
5.1,Alpha and Omega 4: The Legend of the Saw Toothed Cave,2014
4.8,The Sister in Law,1974
7.0,Laerte-se,2017
7.5,An Honest Liar,2014
8.5,One Heart: The A.R. Rahman Concert Film,2017
5.6,Cabin Fever,2002
4.1,The Amazing Praybeyt Benjamin,2014
4.4,White Chamber,2018
6.4,City of God: 10 Years Later,2013
4.6,Mirza's Lady,2016
6.7,Recovery Boys,2018
7.2,Beauties of the Night,2016
5.5,Night Fare,2015
7.1,ATM: Er Rak Error,2012
7.5,Sarvam Thaala Mayam,2018
5.3,Spanish Affair 2,2015
6.1,Kocan Kadar Konus,2015
6.9,Legendary Weapons of China,1982
5.5,Barsaat,1995
4.6,The Devil and Father Amorth,2017
7.0,Goli Soda 2,2018
6.1,93 Days,2016
7.3,Kuchh Bheege Alfaaz,2018
6.5,One Last Thing...,2005
5.7,Halo: The Fall of Reach,2015
7.9,Shuddhi,2017
7.2,Joe Cocker: Mad Dog with Soul,2017
7.3,Mother,2015
7.6,Samantaral,2017
6.6,Puss in Boots,2011
6.3,The Laundromat,2019
5.2,Spirit Riding Free (2017–2020),2019
4.6,Deliha,2014
5.6,Manhattan Romance,2014
4.9,Ánimas,2018
6.7,Moshe Kasher: Live in Oakland,2012
5.4,Maya,1993
6.3,Darna Mana Hai,2003
7.6,Scott Pilgrim vs. the World,2010
6.5,The Lost Brother,2017
6.2,Hedefim Sensin,2018
6.3,Who the Fuck Is That Guy? The Fabulous Journey of Michael Alago,2017
6.1,Lucid Dream,2017
3.8,2307: Winter's Dream,2016
4.8,I Trapped the Devil,2019
6.2,Bygones Be Bygones,2017
5.3,Aiyaary,2018
6.5,Life Overtakes Me,2019
3.4,Undercover Brother 2,2019
4.8,24 Seven,2013
6.9,The Hitman's Bodyguard,2017
6.2,Forgive Us Our Debts,2018
5.7,Kurbaan,2009
7.0,Daughter of the Lake,2015
7.4,Master of the Flying Guillotine,1976
6.2,The Incredible Story of the Giant Pear,2017
5.8,Barbie: Star Light Adventure,2016
4.3,Action Replayy,2010
6.2,Welcome Mr. President,2013
5.4,Bon Bini Holland,2015
6.2,Death Race 2000,1975
6.4,The Breakup Playlist,2015
6.8,La pena máxima,2001
6.2,Last Stop: Kurtulus,2012
6.7,Nothing to Lose,1997
7.7,The Gospel of Matthew,2016
5.5,Hamara Dil Aapke Paas Hai,2000
7.8,O Renascimento do Parto,2013
5.4,What Men Want,2019
6.2,The Mad Monk,1993
5.3,Kath & Kimderella,2012
5.0,#Roxy,2018
7.3,Water & Power: A California Heist,2017
6.8,The Dreamer,2009
6.4,Headwinds,2011
6.6,A Beautiful Life,2011
7.0,The Infiltrator,2016
6.5,Nibunan,2017
4.7,14 Cameras,2018
5.2,All the Freckles in the World,2019
6.1,There's No Place Like Home,2018
5.6,Iqbal & the Jewel of India,2018
6.4,Tottaa Pataaka Item Maal,2019
4.8,Aashik Aawara,1993
5.6,Deuces Wild,2002
7.8,Little Miss Sunshine,2006
6.4,The Hurt Business,2016
7.6,Naledi: A Baby Elephant's Tale,2016
6.4,The Hurt Business,2016
5.8,Good Sam,2019
6.5,The Mars Generation,2017
4.2,Officer Downe,2016
5.4,Jessica Darling's It List,2016
6.4,The Bare-Footed Kid,1993
5.5,Suzzanna: Buried Alive,2018
7.4,Mango Dreams,2016
6.1,"My Son, My Son, What Have Ye Done",2009
4.8,Coin Heist,2017
6.7,Back to School,1986
4.9,Driven to Dance,2018
4.0,Bigger Fatter Liar,2017
3.3,Robin Hood: The Rebellion,2018
6.6,The Spiral,1978
7.9,Chashme Buddoor,1981
2.6,Enter the Anime,2019
7.1,Wandering Stars,2019
6.9,Soekarno,2013
5.2,A Perfect Man,2013
5.5,My Führer,2007
5.8,The Christmas Trap,2018
7.2,A Dog's Purpose,2017
6.0,Boss Wants a Happy Ending,2014
5.3,Steel of Fire Warriors 2010 A.D.,2008
5.7,Belief: The Possession of Janet Moses,2015
6.5,Hükümet Kadin,2013
5.2,Bibi & Tina voll verhext!,2014
6.1,Judwaa,1997
8.3,Lawrence of Arabia,1962
7.2,Nathicharami,2018
5.8,The Unspeakable Act,2012
4.3,My Honor Was Loyalty,2016
6.2,Sardarji,2015
5.5,Zindagi Kitni Haseen Hay,2016
5.5,Pettersson und Findus 2 - Das schönste Weihnachten überhaupt,2016
7.1,Letters from Prague,2016
5.1,Hunt to Kill,2010
7.5,A Bittersweet Life,2005
4.8,Indiscretion,2016
7.2,Advocate,2019
5.8,Off Course,2015
6.2,Line Walker 2: Invisible Spy,2019
5.0,Malicious,2018
6.3,Yes or No: Come Back to Me,2012
6.6,Blessed Benefit,2016
7.0,Zenda,2009
5.5,Raising the Bar,2016
4.6,DJ Cinderella,2019
6.2,Cold Pursuit,2019
4.6,The Super Parental Guardians,2016
5.6,Annabelle Hooper and the Ghosts of Nantucket,2016
6.5,Kevin Hart: Don't F**k This Up,2019
5.7,Virsa,2010
4.1,Welcome to Willits,2016
4.1,The Darkest Dawn,2016
7.9,We Are Moluccans,2014
7.6,Body and Soul,1947
3.8,Compulsion,2016
7.7,Y.M.I. Yeh Mera India,2008
3.8,Compulsion,2016
6.4,B.A. Pass,2012
5.5,The Only Mother to You All,2008
6.1,Kyaa Kool Hai Hum,2005
5.8,Generation Iron 3,2018
7.4,Master of the Flying Guillotine,1976
6.0,Panchu Pandav,1989
6.7,Our Shining Days,2017
6.4,My Own Man,2014
7.3,Interrogation,2020
5.4,Hell and Back,2015
7.4,Phantom Thread,2017
5.4,Pickpockets,2018
5.1,Godzilla: The Planet Eater,2018
6.7,The Pirates of Somalia,2017
5.9,Tere Naal Love Ho Gaya,2012
5.6,Never Heard,2018
7.1,Westside vs the World,2019
4.5,Sex Doll,2016
5.4,Hadi Insallah,2014
4.8,Madea's Big Happy Family,2011
6.1,Honeymoon Travels Pvt. Ltd.,2007
6.8,Pachamama,2018
5.5,Yellowbird,2014
5.6,Bhuddah Hoga Tera Baap,2011
5.0,HOPE one in a billion,2017
6.5,Back to the 90s,2015
4.8,Thank You,2011
7.5,Evil Genius: The True Story of America's Most Diabolical Bank Heist,2018
5.3,Revenge of the Pontianak,2019
6.5,Manoranjan,1974
6.6,The Surrounding Game,2018
5.8,Oversize Cops,2017
5.3,Romantik Komedi,2010
6.2,Todas as Razões para Esquecer,2018
5.8,Zip & Zap and the Captain's Island,2016
7.0,Thunderbolt and Lightfoot,1974
5.3,Revenge of the Green Dragons,2014
7.4,The Search for Signs of Intelligent Life in the Universe,1991
6.9,Rainbow Jelly,2018
6.4,The Great Gambler,1979
5.0,Honey: Rise Up and Dance,2018
3.8,Ladies First,2014
5.2,Benji: Off the Leash!,2004
5.4,Miranda Sings Live... Your Welcome,2019
3.6,Natural Born Pranksters,2016
6.4,Galih dan Ratna,2017
5.5,When Angels Sleep,2018
7.2,Evening Shadows,2018
4.6,Planetarium,2016
3.4,Day of the Dead: Bloodline,2017
8.0,Hikaru Utada: Laughter in the Dark Tour 2018,2019
6.0,Elaan,1971
6.5,Deewangee,2002
7.3,Saawan,2016
6.3,The Gentleman Driver,2018
6.4,Monopoly (The Bank of Luck),2017
7.1,Vicky Cristina Barcelona,2008
6.4,Pitaah,2002
4.5,The Witch Files,2018
4.8,Hypersomnia,2016
8.2,Down the Fence,2017
7.0,The Boys from Brazil,1978
5.7,Spivak,2018
4.7,Zoolander 2,2016
5.9,Satyagraha,2013
7.7,Haani,2013
5.6,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!",2014
5.0,Rebirth,2016
6.5,3 Srikandi,2016
8.1,El testigo,2018
6.6,The Fourth Direction,2015
4.9,Baadshaho,2017
4.3,Players,2012
5.0,F.R.E.D.I.,2018
7.1,I Am Sun Mu,2015
5.2,Another Forever,2016
8.0,Beyond All Boundaries,2013
6.3,Urumbukal Urangarilla,2015
5.2,Firebrand,2019
5.2,Lost at Home,2003
4.8,Going for Gold,2018
5.6,Yucatan,2018
5.6,47 Meters Down,2017
5.8,Kya Kehna,2000
4.8,Blood Money,2012
6.2,Music Teacher,2019
6.0,Valley of the Dolls,1967
6.2,Raja Natwarlal,2014
4.8,Trimurti,1995
6.3,Feel Rich: Health Is the New Wealth,2017
5.4,Poster Boys,2017
5.1,Amateur Night,2016
5.4,Abzurdah,2015
6.2,Max Rose,2013
5.7,Bomb Scared,2017
6.1,Zubaan,2015
4.4,The Heyday of the Insensitive Bastards,2015
5.9,Casino Tycoon,1992
7.0,Tutto quello che vuoi,2017
6.9,The Demise of ETA,2017
7.5,100 Meters,2016
7.2,The Gospel of Luke,2015
6.6,Lifeline,1997
4.9,The Little Switzerland,2019
6.5,Rock My Heart,2017
5.6,Jay and Silent Bob Reboot,2019
5.7,Lego Jurassic World: The Indominus Escape,2016
0.0,The Almighty Street Team,2021
6.8,Khido Khundi,2018
6.5,The Dancer,2016
7.8,Erlebnis Erde (2007– ),2013
6.1,Secrets of Scotland Yard,1944
5.3,Kismat Konnection,2008
5.6,We Are Family,2010
5.7,The Last Shot,2004
5.0,The Last Whistle,2019
6.2,Dancing Quietly,2016
5.9,Hide and Seek,2016
7.8,Unchained: The Untold Story of Freestyle Motocross,2016
6.6,The Tigers of Scotland,2017
4.4,Hot Gimmick: Girl Meets Boy,2019
4.3,Total Frat Movie,2016
7.1,A Tale of Two Sisters,2003
7.1,Tahaan,2008
6.2,Gadaar: The Traitor,2015
6.4,Phone Swap,2012
6.1,Drinking Buddies,2013
5.4,3 Türken & ein Baby,2015
4.9,May We Chat,2014
5.2,Holly Star,2018
5.4,Seven in Heaven,2018
6.9,Away from Everywhere,2016
5.7,Mumbai Delhi Mumbai,2014
6.8,Parchís: The Documentary,2019
5.2,Arctic Heart,2016
4.4,Misfit,2017
6.4,Two Catalonias,2018
4.9,27: Gone Too Soon,2018
7.4,Numero Zero: Alle origini del rap italiano,2015
4.6,Bombairiya,2019
6.5,The Reconquest,2016
4.9,Five Nights in Maine,2015
6.9,Poetical Refugee,2000
6.5,Ankur Arora Murder Case,2013
6.6,It Takes a Lunatic,2019
4.5,Grand Masti,2013
4.7,Lang Tong,2014
5.5,One 2 Ka 4,2001
5.9,Hayat Öpücügü,2015
5.9,Little Dragon Maiden,1983
7.0,The Lookout,2007
7.3,John & Jane,2005
7.2,Naga the Eternal Yogi,2016
4.6,Detention Letter,2017
5.9,The Great Magician,2011
6.9,Tree Man,2015
5.4,The 3rd Eye 2,2019
5.2,The River Thief,2016
7.0,The Milk System,2017
